127.0.0.1 - - [11/Mar/2021:20:22:33 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:23:16 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 200 1707
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:23:16 -0300] "GET /exemploServlet/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:23:42 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 200 1707
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:23:42 -0300] "GET /exemploServlet/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:23:47 -0300] "POST /exemploServlet/insereContato HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:24:01 -0300] "POST /exemploServlet/insereContato HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:25:17 -0300] "POST /exemploServlet/insereContato HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:27:07 -0300] "POST /exemploServlet/insereContato HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:38:54 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 200 1671
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:38:56 -0300] "GET /exemploServlet/contato.html?txtNome=&txtEndereco=&txtTelefone= HTTP/1.1" 200 1671
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:38:58 -0300] "GET /exemploServlet/contato.html?txtNome=&txtEndereco=&txtTelefone= HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:39:04 -0300] "GET /exemploServlet/contato.html?txtNome=a&txtEndereco=a&txtTelefone=a HTTP/1.1" 200 1671
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:39:05 -0300] "GET /exemploServlet/contato.html?txtNome=&txtEndereco=&txtTelefone= HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:40:52 -0300] "GET /exemploServlet/contato.html?txtNome=&txtEndereco=&txtTelefone= HTTP/1.1" 200 1684
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:40:55 -0300] "GET /exemploServlet/contato.html?txtNome=&txtEndereco=&txtTelefone= HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:40:56 -0300] "GET /exemploServlet/contato.html?txtNome=&txtEndereco=&txtTelefone= HTTP/1.1" 304 -
