127.0.0.1 - - [16/Feb/2022:20:45:40 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [16/Feb/2022:20:46:34 -0300] "GET /exemploServlet/ HTTP/1.1" 200 1824
0:0:0:0:0:0:0:1 - - [16/Feb/2022:20:46:34 -0300] "GET /exemploServlet/style.css HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [16/Feb/2022:20:47:20 -0300] "GET /exemploServlet/ HTTP/1.1" 200 1824
0:0:0:0:0:0:0:1 - - [16/Feb/2022:20:47:20 -0300] "GET /exemploServlet/style.css HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [16/Feb/2022:20:47:20 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [16/Feb/2022:20:49:22 -0300] "GET /exemploServlet/contatinho(teste).html HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [16/Feb/2022:20:49:33 -0300] "GET /exemploServlet/contatinho(teste).html HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [16/Feb/2022:21:01:21 -0300] "GET /exemploServlet/contatinho(teste).html HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [16/Feb/2022:21:01:22 -0300] "GET /exemploServlet/contatinho(teste).html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:21:06:46 -0300] "GET /exemploServlet/contatinho(teste).html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:21:06:46 -0300] "GET /exemploServlet/contatinho(teste).html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:21:10:45 -0300] "GET /exemploServlet/contatinho(teste).html HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [16/Feb/2022:21:10:45 -0300] "GET /exemploServlet/contatinho(teste).html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:21:10:46 -0300] "GET /exemploServlet/contatinho(teste).html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:21:10:46 -0300] "GET /exemploServlet/contatinho(teste).html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:21:10:46 -0300] "GET /exemploServlet/contatinho(teste).html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:21:14:24 -0300] "GET /exemploServlet/contatinho(teste).html HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [16/Feb/2022:21:14:27 -0300] "GET /exemploServlet/contatinho(teste).html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:21:14:28 -0300] "GET /exemploServlet/contatinho(teste).html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:21:14:28 -0300] "GET /exemploServlet/contatinho(teste).html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:21:14:28 -0300] "GET /exemploServlet/contatinho(teste).html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:21:14:28 -0300] "GET /exemploServlet/contatinho(teste).html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:21:14:29 -0300] "GET /exemploServlet/contatinho(teste).html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:21:14:29 -0300] "GET /exemploServlet/contatinho(teste).html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:21:14:29 -0300] "GET /exemploServlet/contatinho(teste).html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:21:14:29 -0300] "GET /exemploServlet/contatinho(teste).html HTTP/1.1" 304 -
