127.0.0.1 - - [07/Jun/2022:21:28:56 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [07/Jun/2022:21:28:57 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/index.html HTTP/1.1" 200 1132
0:0:0:0:0:0:0:1 - - [07/Jun/2022:21:28:57 -0300] "GET /ProjetoTrilhaWeb/pages/js/product.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [07/Jun/2022:21:29:28 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/index.html HTTP/1.1" 200 1132
0:0:0:0:0:0:0:1 - - [07/Jun/2022:21:29:28 -0300] "GET /ProjetoTrilhaWeb/pages/js/product.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [07/Jun/2022:21:29:28 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [07/Jun/2022:21:30:18 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:21:30:18 -0300] "GET /ProjetoTrilhaWeb/pages/js/product.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [07/Jun/2022:21:30:22 -0300] "GET /ProjetoTrilhaWeb/pages/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:21:30:22 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [07/Jun/2022:21:30:22 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2835
0:0:0:0:0:0:0:1 - - [07/Jun/2022:21:30:22 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [07/Jun/2022:21:30:22 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 529062
0:0:0:0:0:0:0:1 - - [07/Jun/2022:21:30:22 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [07/Jun/2022:21:30:23 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [07/Jun/2022:21:30:23 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [07/Jun/2022:21:30:23 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [07/Jun/2022:21:30:25 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 1132
0:0:0:0:0:0:0:1 - - [07/Jun/2022:21:30:25 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 3044
0:0:0:0:0:0:0:1 - - [07/Jun/2022:21:30:27 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [07/Jun/2022:21:31:02 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [07/Jun/2022:21:31:02 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2835
0:0:0:0:0:0:0:1 - - [07/Jun/2022:21:31:02 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [07/Jun/2022:21:31:02 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 529062
0:0:0:0:0:0:0:1 - - [07/Jun/2022:21:31:02 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [07/Jun/2022:21:31:03 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [07/Jun/2022:21:31:03 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [07/Jun/2022:21:31:03 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [07/Jun/2022:21:31:11 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [07/Jun/2022:21:31:13 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:21:31:13 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [07/Jun/2022:21:31:16 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 84
